seed: 1210063879
10;-18311;[ 10, 8, 17, 11, 13, 4, 0, 16, 2, 15, 1, 3, 12, 19, 14, 9, 7, 6, 5, 18 ]
18;-17011;[ 10, 8, 3, 12, 17, 13, 4, 0, 16, 2, 15, 1, 11, 19, 14, 9, 7, 6, 5, 18 ]
28;-16558;[ 10, 8, 3, 16, 2, 15, 11, 19, 14, 1, 9, 7, 6, 12, 17, 5, 13, 18, 4, 0 ]
37;-16473;[ 10, 8, 3, 16, 2, 12, 17, 15, 11, 19, 14, 1, 5, 13, 9, 18, 7, 6, 4, 0 ]
44;-15513;[ 15, 10, 8, 3, 16, 2, 12, 17, 11, 19, 14, 1, 5, 13, 9, 18, 7, 6, 4, 0 ]
52;-15299;[ 15, 10, 8, 3, 16, 2, 12, 17, 11, 14, 1, 5, 13, 9, 18, 7, 6, 19, 4, 0 ]
240;-14896;[ 10, 3, 2, 16, 13, 15, 12, 17, 4, 1, 14, 18, 8, 9, 19, 11, 5, 7, 6, 0 ]
277;-14886;[ 10, 3, 2, 16, 13, 15, 12, 17, 14, 1, 18, 8, 9, 19, 11, 5, 7, 6, 4, 0 ]
314;-14240;[ 2, 15, 10, 12, 3, 17, 16, 13, 14, 1, 18, 8, 9, 19, 11, 5, 7, 6, 4, 0 ]
539;-14202;[ 14, 13, 3, 2, 12, 18, 17, 16, 10, 0, 15, 4, 1, 7, 8, 9, 19, 5, 6, 11 ]
605;-14006;[ 2, 14, 13, 15, 10, 12, 3, 17, 16, 18, 0, 4, 1, 8, 7, 9, 19, 5, 6, 11 ]
948;-14000;[ 14, 2, 18, 13, 16, 3, 17, 10, 12, 15, 4, 1, 8, 5, 7, 0, 9, 19, 6, 11 ]
1098;-13971;[ 2, 14, 13, 9, 15, 19, 17, 18, 8, 10, 12, 0, 11, 3, 4, 1, 7, 6, 16, 5 ]
1172;-13965;[ 2, 14, 13, 9, 15, 19, 17, 18, 8, 10, 12, 0, 11, 3, 4, 1, 5, 7, 16, 6 ]
1209;-13894;[ 2, 14, 13, 9, 15, 19, 17, 18, 12, 10, 0, 11, 3, 4, 1, 8, 5, 7, 16, 6 ]
2021;-13763;[ 2, 14, 18, 10, 3, 13, 15, 19, 1, 17, 8, 12, 4, 5, 0, 6, 16, 7, 9, 11 ]
2058;-13739;[ 2, 14, 18, 10, 3, 13, 15, 19, 1, 17, 8, 12, 4, 0, 6, 16, 5, 7, 9, 11 ]
2062;-13675;[ 2, 14, 18, 10, 3, 13, 15, 1, 17, 19, 8, 12, 4, 0, 6, 16, 5, 7, 9, 11 ]
2362;-13616;[ 2, 14, 13, 3, 18, 10, 0, 12, 15, 19, 4, 8, 1, 9, 17, 6, 16, 7, 5, 11 ]
2472;-13597;[ 2, 14, 13, 3, 18, 10, 0, 12, 15, 19, 4, 8, 1, 9, 17, 6, 16, 5, 7, 11 ]
2915;-13567;[ 2, 14, 13, 12, 18, 10, 7, 3, 15, 1, 19, 4, 5, 8, 9, 17, 6, 16, 0, 11 ]
2952;-13533;[ 2, 14, 13, 12, 18, 10, 7, 3, 15, 19, 4, 5, 1, 17, 6, 8, 9, 16, 0, 11 ]
3416;-13481;[ 2, 14, 13, 12, 18, 10, 7, 3, 15, 19, 4, 5, 1, 17, 6, 16, 8, 9, 0, 11 ]
10613;-13476;[ 2, 14, 13, 12, 15, 10, 3, 19, 4, 1, 0, 18, 17, 6, 8, 16, 5, 7, 9, 11 ]
14318;-13447;[ 2, 14, 13, 12, 15, 17, 1, 18, 10, 3, 19, 4, 8, 9, 6, 16, 5, 7, 0, 11 ]
52165;-13435;[ 2, 14, 13, 3, 18, 10, 9, 15, 4, 5, 8, 12, 19, 17, 11, 1, 16, 0, 7, 6 ]
61489;-13431;[ 2, 14, 13, 3, 18, 10, 9, 15, 4, 5, 8, 12, 19, 17, 11, 16, 1, 7, 0, 6 ]
61526;-13413;[ 2, 14, 13, 3, 18, 10, 9, 15, 4, 5, 8, 12, 19, 17, 11, 1, 16, 7, 0, 6 ]
72010;-13387;[ 2, 14, 3, 18, 13, 15, 10, 1, 12, 19, 17, 4, 9, 11, 8, 16, 5, 7, 0, 6 ]
76004;-13362;[ 2, 14, 13, 3, 15, 18, 1, 10, 12, 19, 17, 4, 9, 11, 8, 16, 5, 7, 0, 6 ]
86519;-13356;[ 2, 14, 13, 12, 15, 10, 3, 18, 8, 9, 19, 17, 4, 1, 7, 5, 0, 6, 16, 11 ]
86741;-13347;[ 2, 14, 13, 12, 15, 10, 3, 18, 8, 9, 19, 17, 4, 1, 5, 7, 0, 6, 16, 11 ]
133715;-13334;[ 2, 14, 13, 12, 15, 10, 3, 18, 8, 9, 19, 17, 4, 1, 6, 16, 5, 7, 0, 11 ]
225799;-13324;[ 2, 14, 13, 12, 15, 18, 10, 7, 3, 19, 4, 5, 9, 17, 6, 16, 8, 1, 0, 11 ]
295166;-13313;[ 2, 14, 13, 12, 15, 18, 10, 7, 3, 19, 4, 5, 8, 9, 17, 6, 16, 1, 0, 11 ]
394054;-13301;[ 2, 14, 13, 12, 15, 18, 10, 1, 3, 19, 17, 4, 9, 11, 8, 16, 5, 7, 0, 6 ]
