Seed: 3957429077
FFE found;Fitness
2;-89153
193;-80291
622;-71527
1210;-70342
1897;-69737
2675;-68473
3559;-68176
4534;-67880
6860;-67226
11246;-66990
12846;-66956
14449;-66939
16105;-66871
17861;-66689
19705;-66529
27281;-66525
31276;-66496
33365;-66350
40037;-66166
45003;-66082
47576;-66048
50199;-65974
64379;-65943
81845;-65923
99817;-65850
109579;-65658
175645;-65642
198563;-65629
260814;-65620
274013;-65569
291994;-65531
471325;-65501
708441;-65479
784358;-65440
822760;-65409
2801755;-65374
5050053;-65365
5167803;-65298
5581282;-65293
5683203;-65278
5868885;-65273
5877082;-65253
5926709;-65250
5943542;-65218
6652265;-65195
13338740;-65164
26233262;-65153
29424431;-65102
45368717;-65096
101645424;-65081
111383820;-65080
112121427;-65050
137321392;-65047
142580611;-65038
