Seed: 1820277940
FFE found;Fitness
5710;-67572
10351;-67341
18184;-66592
47192;-66545
54036;-66471
60768;-66294
75459;-66124
125738;-66091
156176;-66050
167490;-66003
235358;-65825
406380;-65747
469139;-65727
665885;-65493
954016;-65477
2618973;-65463
2786812;-65452
3602742;-65341
4059900;-65325
4157538;-65309
4700822;-65238
5254273;-65226
7404253;-65197
8654436;-65175
14274245;-65161
18140539;-65158
18181476;-65150
26706196;-65143
26748205;-65134
28039061;-65131
28895857;-65108
44240264;-65096
44442901;-65088
44768257;-65057
53917911;-65043
58651147;-65027
60846102;-65010
65746078;-64981
69090223;-64961
73023478;-64927
75169251;-64900
114916278;-64898
162321944;-64892
174499595;-64891
189343034;-64875
