Seed: 1239843402
FFE found;Fitness
1;-90681
188;-78317
568;-76024
1898;-74578
2861;-73936
4011;-72469
5364;-72019
14391;-71959
21088;-71832
25940;-71821
28464;-71208
36343;-71091
50926;-71066
57440;-70672
97566;-70494
118749;-70473
150700;-70413
165254;-70290
185293;-70281
268008;-70166
285218;-70073
583847;-69962
591283;-69813
862955;-69775
915956;-69740
924951;-69652
961393;-69571
989026;-69564
1137124;-69526
1391176;-69498
2247880;-69459
2548305;-69431
2603200;-69427
2758865;-69396
3320660;-69392
3587901;-69360
4012202;-69338
4407473;-69335
5778750;-69325
6741482;-69316
14541077;-69298
